ply
format ascii 1.D
comment this is my Proccessing file
element vertex 76800
property float x
property float y
property float z
end_header
-1.2039862 -0.3564454 -2.133639 
-1.2119274 -0.34426135 -2.1477122 
-1.2281284 -0.33413398 -2.1764228 
-1.2447686 -0.32373223 -2.2059116 
-1.2447686 -0.30880323 -2.2059116 
-1.2705917 -0.29997075 -2.251674 
-1.2975091 -0.29076403 -2.2993753 
-1.3160967 -0.27914494 -2.3323152 
-1.3160967 -0.26336047 -2.3323152 
-1.3352244 -0.25117418 -2.3662124 
-1.3449984 -0.2368817 -2.3835332 
-1.3649819 -0.22403044 -2.418947 
-1.3855683 -0.21079156 -2.455429 
-1.396096 -0.19564925 -2.4740858 
-1.4286617 -0.1830785 -2.531797 
-1.4398571 -0.16724439 -2.551637 
-1.4745216 -0.15358627 -2.6130674 
-1.4985738 -0.13811855 -2.6556914 
-1.5108964 -0.1211335 -2.6775289 
-1.5234236 -0.103866816 -2.6997287 
-1.5622828 -0.087779164 -2.768593 
-1.5893095 -0.070236474 -2.8164883 
-1.5893095 -0.051175255 -2.8164883 
-1.5893095 -0.032114036 -2.8164883 
-1.5893095 -0.013052817 -2.8164883 
-1.5893095 0.0060084024 -2.8164883 
-1.5622828 0.024643306 -2.768593 
-1.5622828 0.043380383 -2.768593 
-1.5756803 0.06265015 -2.7923353 
-1.5622828 0.08085454 -2.768593 
-1.5491112 0.09875196 -2.7452512 
-1.6172876 0.12249481 -2.8660696 
-1.6462685 0.1444342 -2.917428 
-1.676307 0.16717422 -2.9706604 
-1.6917411 0.18900315 -2.998012 
-1.723478 0.21321918 -3.0542543 
-1.723478 0.23388954 -3.0542543 
-1.7397971 0.25697026 -3.0831742 
-1.7564282 0.28049222 -3.112647 
-1.8082858 0.3104611 -3.2045462 
-1.8082858 0.33214858 -3.2045462 
-1.8082858 0.3538361 -3.2045462 
-1.7906631 0.3718639 -3.1733162 
-1.7733804 0.38954368 -3.1426888 
-1.7733804 0.41081253 -3.1426888 
-1.7564282 0.427951 -3.112647 
-1.7397971 0.44476494 -3.0831742 
-1.7397971 0.465631 -3.0831742 
-1.723478 0.4819338 -3.0542543 
-1.707462 0.49793354 -3.0258718 
-1.6917411 0.51363873 -2.998012 
-1.6917411 0.53392845 -2.998012 
-1.6611519 0.5441971 -2.9438035 
-1.6462685 0.5590656 -2.917428 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.36703396 0.19067289 -0.6504377 
-0.3619725 0.19238476 -0.6414681 
-0.35429493 0.1925534 -0.6278623 
-0.35361305 0.19642383 -0.6266539 
-0.34563097 0.19613528 -0.61250854 
-0.34304976 0.19878484 -0.60793424 
-0.34050682 0.20139514 -0.60342777 
-0.3355324 0.20247714 -0.59461236 
-0.33370423 0.2053762 -0.5913726 
-0.33249652 0.20862067 -0.5892323 
-0.33070117 0.21146044 -0.58605075 
-0.3283374 0.21388686 -0.5818618 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.31976628 0.21980867 -0.5666725 
-0.31921074 0.22325522 -0.565688 
-0.84990704 -0.62604487 -1.5243437 
-0.85390455 -0.61862457 -1.5315133 
-0.8702777 -0.61992276 -1.5608793 
-0.8744696 -0.61229426 -1.5683976 
-0.8872911 -0.6105016 -1.5913935 
-0.8872911 -0.5997315 -1.5913935 
-0.8916488 -0.591854 -1.5992093 
-0.9049828 -0.58971983 -1.6231244 
-0.9049828 -0.578735 -1.6231244 
-0.91409594 -0.5734674 -1.6394691 
-0.9233945 -0.5680925 -1.6561465 
-0.92811507 -0.55973107 -1.664613 
-0.9425709 -0.5570081 -1.6905402 
-0.9474901 -0.54841423 -1.699363 
-0.9524609 -0.5397302 -1.7082783 
-0.9676913 -0.5366148 -1.7355946 
-0.97287697 -0.5276814 -1.7448953 
-0.98341674 -0.5214612 -1.7637988 
-0.98877263 -0.5122993 -1.773405 
-0.9996616 -0.5058069 -1.7929348 
-1.0107931 -0.49917 -1.8128995 
-1.0164522 -0.48962682 -1.8230494 
-1.0279628 -0.4826939 -1.8436942 
-1.0397372 -0.47560218 -1.864812 
-1.0517844 -0.4683461 -1.8864192 
-1.0579133 -0.45823404 -1.8974116 
-1.070388 -0.45064485 -1.9197854 
-1.0831603 -0.4428745 -1.942693 
-1.096241 -0.4349165 -1.966154 
-1.1096417 -0.42676395 -1.9901886 
-1.1096417 -0.4132949 -1.9901886 
-1.1303682 -0.40729403 -2.0273626 
-1.1374503 -0.39603925 -2.0400646 
-1.1518841 -0.38708302 -2.065952 
-1.1592392 -0.37548357 -2.0791438 
-1.1742346 -0.36608762 -2.1060388 
-1.1896234 -0.3564454 -2.133639 
-1.19747 -0.34426135 -2.1477122 
-1.2216432 -0.33638236 -2.191068 
-1.2299194 -0.32373223 -2.2059116 
-1.2383083 -0.31090948 -2.2209575 
-1.2641764 -0.30205953 -2.267353 
-1.273041 -0.2887252 -2.283252 
-1.2911483 -0.2771597 -2.3157282 
-1.3097781 -0.26526046 -2.3491416 
-1.319296 -0.25117418 -2.3662124 
-1.3289534 -0.2368817 -2.3835332 
-1.3486985 -0.22403044 -2.418947 
-1.3690393 -0.21079156 -2.455429 
-1.3794415 -0.19564925 -2.4740858 
-1.4007275 -0.18166597 -2.512263 
-1.4226806 -0.16724439 -2.551637 
-1.4569315 -0.15358627 -2.6130674 
-1.4806968 -0.13811855 -2.6556914 
-1.4928724 -0.1211335 -2.6775289 
-1.5052501 -0.103866816 -2.6997287 
-1.5306314 -0.0870391 -2.7452512 
-1.5436459 -0.06904209 -2.768593 
-1.5568835 -0.050736398 -2.7923353 
-1.57035 -0.032114036 -2.8164883 
-1.57035 -0.013052817 -2.8164883 
-1.57035 0.0060084024 -2.8164883 
-1.5568835 0.024854636 -2.7923353 
-1.5568835 0.043752395 -2.7923353 
-1.5568835 0.06265015 -2.7923353 
-1.5568835 0.081547916 -2.7923353 
-1.5436459 0.09959162 -2.768593 
-1.57035 0.12037572 -2.8164883 
-1.6266296 0.1444342 -2.917428 
-1.6563097 0.16717422 -2.9706604 
-1.6870931 0.19075951 -3.0258718 
-1.7029179 0.21321918 -3.0542543 
-1.7190424 0.23610418 -3.0831742 
-1.7190424 0.25697026 -3.0831742 
-1.7522252 0.2831994 -3.1426888 
-1.7867141 0.3104611 -3.2045462 
-1.7867141 0.33214858 -3.2045462 
-1.7693017 0.35038775 -3.1733162 
-1.7354752 0.3647544 -3.112647 
-1.7354752 0.38581994 -3.112647 
-1.7522252 0.41081253 -3.1426888 
-1.7190424 0.42389888 -3.0831742 
-1.6870931 0.43649873 -3.0258718 
-1.6870931 0.456977 -3.0258718 
-1.6870931 0.4774553 -3.0258718 
-1.6715598 0.493349 -2.998012 
-1.6715598 0.51363873 -2.998012 
-1.6715598 0.53392845 -2.998012 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.35978076 0.18479437 -0.6452818 
-0.35978076 0.18916145 -0.6452818 
-0.3507447 0.18866798 -0.6290752 
-0.34872356 0.19181368 -0.62545025 
-0.34409693 0.19344552 -0.61715215 
-0.3395914 0.19503464 -0.6090714 
-0.33832574 0.1984144 -0.60680133 
-0.3364448 0.20139514 -0.60342777 
-0.3321362 0.20284756 -0.59570014 
-0.3309254 0.20612492 -0.5935285 
-0.32853004 0.20862067 -0.5892323 
-0.32442057 0.20994897 -0.5818618 
-0.32384187 0.21350533 -0.5808239 
-0.32211813 0.2162788 -0.57773226 
-0.31984812 0.21863705 -0.5736609 
-0.31595168 0.21980867 -0.5666725 
-0.31595168 0.22364375 -0.5666725 
-0.843595 -0.6289894 -1.5315133 
-0.843595 -0.61862457 -1.5315133 
-0.85160595 -0.61403584 -1.5460569 
-0.8639118 -0.61229426 -1.5683976 
-0.87231517 -0.6075324 -1.5836536 
-0.87657845 -0.5997315 -1.5913935 
-0.88088363 -0.591854 -1.5992093 
-0.8940566 -0.58971983 -1.6231244 
-0.89853567 -0.58163434 -1.6312559 
-0.9076296 -0.57636935 -1.6477656 
-0.91224605 -0.5680925 -1.6561465 
-0.92162114 -0.5626073 -1.6731666 
-0.9360507 -0.55991507 -1.699363 
-0.9360507 -0.54841423 -1.699363 
-0.9459241 -0.54257673 -1.7172878 
-0.956008 -0.5366148 -1.7355946 
-0.96113104 -0.5276814 -1.7448953 
-0.97154355 -0.5214612 -1.7637988 
-0.97683483 -0.5122993 -1.773405 
-0.98759234 -0.5058069 -1.7929348 
-0.9930604 -0.4964062 -1.8028618 
-1.0041802 -0.48962682 -1.8230494 
-1.0155519 -0.4826939 -1.8436942 
-1.0331007 -0.47834164 -1.8755534 
-1.0390859 -0.4683461 -1.8864192 
-1.0451407 -0.45823404 -1.8974116 
-1.0574647 -0.45064485 -1.9197854 
-1.0700828 -0.4428745 -1.942693 
-1.089585 -0.4375586 -1.9780983 
-1.0962446 -0.42676395 -1.9901886 
-1.1029861 -0.4158365 -2.0024276 
-1.1167209 -0.40729403 -2.0273626 
-1.1237175 -0.39603925 -2.0400646 
-1.1308023 -0.38464257 -2.0529268 
-1.1452433 -0.37548357 -2.0791438 
-1.1600577 -0.36608762 -2.1060388 
-1.1752607 -0.3564454 -2.133639 
-1.1908672 -0.34654713 -2.1619723 
-1.2068938 -0.33638236 -2.191068 
-1.2150701 -0.32373223 -2.2059116 
-1.2317594 -0.31304473 -2.2362103 
-1.240277 -0.29997075 -2.251674 
-1.2489135 -0.2867147 -2.267353 
-1.2755598 -0.2771597 -2.3157282 
-1.2846963 -0.26336047 -2.3323152 
-1.3033677 -0.25117418 -2.3662124 
-1.32259 -0.23862849 -2.4011097 
-1.3423877 -0.22570719 -2.4370515 
-1.3525105 -0.21079156 -2.455429 
-1.3732209 -0.1971472 -2.4930282 
-1.3945757 -0.1830785 -2.531797 
-1.416605 -0.16856532 -2.5717902 
-1.4393414 -0.15358627 -2.6130674 
-1.4509857 -0.13700117 -2.634207 
-1.4748484 -0.1211335 -2.6775289 
-1.4995092 -0.10473519 -2.7222996 
-1.5121515 -0.0870391 -2.7452512 
-1.5250088 -0.06904209 -2.768593 
-1.5513906 -0.051175255 -2.8164883 
-1.5649267 -0.032394238 -2.8410625 
-1.5513906 -0.013052817 -2.8164883 
-1.5513906 0.0060084024 -2.8164883 
-1.5513906 0.025069622 -2.8164883 
-1.5513906 0.044130843 -2.8164883 
-1.5513906 0.06319206 -2.8164883 
-1.5380867 0.081547916 -2.7923353 
-1.5380867 0.10044567 -2.7923353 
-1.5513906 0.12037572 -2.8164883 
-1.6069907 0.1444342 -2.917428 
-1.6513784 0.16871344 -2.998012 
-1.682358 0.19254883 -3.0542543 
-1.7310699 0.21939284 -3.1426888 
-1.7310699 0.2406617 -3.1426888 
-1.6982878 0.25697026 -3.0831742 
-1.7310699 0.2831994 -3.1426888 
-1.7479402 0.30743548 -3.1733162 
-1.7310699 0.32573712 -3.1426888 
-1.7145221 0.34368885 -3.112647 
-1.7145221 0.3647544 -3.112647 
-1.7145221 0.38581994 -3.112647 
-1.6982878 0.40303278 -3.0831742 
-1.682358 0.41992274 -3.0542543 
-1.6667242 0.43649873 -3.0258718 
-1.6667242 0.456977 -3.0258718 
-1.6667242 0.4774553 -3.0258718 
-1.682358 0.5026041 -3.0542543 
-1.682358 0.5232745 -3.0542543 
-1.6667242 0.53889006 -3.0258718 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.0 0.0 -0.0 
-0.35827702 0.18186891 -0.6504377 
-0.3540338 0.18406484 -0.64273435 
-0.35333633 0.18804349 -0.6414681 
